J-33,0.2011,0.0281
J-34,0.0867,0.0139
J-35,0.0673,0.0115
J-36,0.2952,0.0393
J-37,0.1058,0.0162
J-38,0.0473,0.0091
J-39,0.0673,0.0115
J-40,0.0262,0.0068
J-41,0.0673,0.0115
J-42,0.0473,0.0091
J-43,0.1058,0.0162
J-46,0.0673,0.0115
J-47,0.1058,0.0162
J-48,0.1818,0.0257
J-49,0.0473,0.0091
J-51,0.1248,0.0186
J-52,0.3157,0.0417
J-55,0.0867,0.0139
J-56,0.0262,0.0068
J-57,0.3212,0.0423
J-58,0.0473,0.0091
J-59,0.2205,0.0305
J-60,0.0473,0.0091
J-61,0.0262,0.0068
J-62,0.0867,0.0139
J-63,0.1248,0.0186
J-65,0.0473,0.0091
J-66,0.0473,0.0091
J-67,0.1611,0.0232
J-68,0.0673,0.0115
J-69,0.0262,0.0068
J-70,0.0673,0.0115
J-71,0.0673,0.0115
J-72,0.0473,0.0091
J-73,0.1977,0.0277
J-74,0.0473,0.0091
J-75,0.1058,0.0162
J-76,0.0673,0.0115
J-77,0.0673,0.0115
J-78,0.142,0.0208
J-79,0.1248,0.0186
J-80,0.1058,0.0162
J-81,0.2205,0.0305
J-83,0.0673,0.0115
J-84,0.1248,0.0186
J-85,0.0473,0.0091
J-86,0.142,0.0208
J-87,0.1994,0.0279
J-88,0.2385,0.0326
J-89,0.0673,0.0115
J-90,0.2952,0.0393
J-91,0.2011,0.0281
J-92,0.2583,0.035
J-93,0.0867,0.0139
J-94,0.0262,0.0068
J-95,0.0262,0.0068
J-96,0.1248,0.0186
J-97,0.0867,0.0139
J-98,0.3006,0.04
J-99,0.1437,0.021
J-100,0.0473,0.0091
J-102,0.1437,0.021
J-103,0.1058,0.0162
J-104,0.1802,0.0255
J-105,0.0867,0.0139
J-106,0.0673,0.0115
J-107,0.2188,0.0303
J-108,0.0262,0.0068
J-109,0.0673,0.0115
J-110,0.2205,0.0305
J-111,0.0867,0.0139
J-112,0.1058,0.0162
J-113,0.0473,0.0091
J-114,0.0867,0.0139
J-115,0.2601,0.0352
J-116,0.1248,0.0186
J-117,0.0473,0.0091
J-118,0.0673,0.0115
J-119,0.0673,0.0115
J-120,0.2402,0.0329
J-121,0.1248,0.0186
J-122,0.0673,0.0115
J-123,0.407,0.0518
J-124,0.2188,0.0303
J-125,0.1058,0.0162
J-126,0.0867,0.0139
J-127,0.2683,0.0362
J-128,0.1058,0.0162
J-129,0.2802,0.0376
J-130,0.4051,0.0516
J-131,0.2483,0.0338
J-132,0.2402,0.0329
J-133,0.2802,0.0376
J-134,0.0867,0.0139
J-135,0.1248,0.0186
J-136,0.0473,0.0091
J-137,0.0673,0.0115
J-139,0.0262,0.0068
J-140,2,0
J-141,0.1058,0.0162
J-142,0.1437,0.021
J-143,0.1248,0.0186
J-144,0.0673,0.0115
J-145,0.3006,0.04
J-146,0.0473,0.0091
J-147,0.0673,0.0115
J-148,0.1437,0.021
J-149,0.1437,0.021
J-150,0.1248,0.0186
