,ID,Elem,Alpha,Niv,Param,NS,Val
90,P-10,Tub,0.1,Inf,Q,1,7.973123550415039
91,P-10,Tub,0.1,Inf,V,1,0.9991143345832825
92,P-11,Tub,0.1,Inf,Q,1,16.890655517578125
93,P-11,Tub,0.1,Inf,V,1,0.92594313621521
94,P-13,Tub,0.1,Inf,Q,1,6.385473728179932
95,P-13,Tub,0.1,Inf,V,1,0.8001654744148254
96,P-15,Tub,0.1,Inf,Q,1,33.91865539550781
97,P-15,Tub,0.1,Inf,V,1,0.6620711088180542
98,P-17,Tub,0.1,Inf,Q,1,7.306275844573975
99,P-17,Tub,0.1,Inf,V,1,0.4005289375782013
100,P-20,Tub,0.1,Inf,Q,1,30.582406997680664
101,P-20,Tub,0.1,Inf,V,1,0.9338302612304688
102,P-22,Tub,0.1,Inf,Q,1,16.89068031311035
103,P-22,Tub,0.1,Inf,V,1,0.9259445071220398
104,P-24,Tub,0.1,Inf,Q,1,13.691749572753906
105,P-24,Tub,0.1,Inf,V,1,0.7505796551704407
106,P-25,Tub,0.1,Inf,Q,1,8.917555809020996
107,P-25,Tub,0.1,Inf,V,1,1.1174614429473877
108,P-27,Tub,0.1,Inf,Q,1,6.030710697174072
109,P-27,Tub,0.1,Inf,V,1,0.33060264587402344
110,P-30,Tub,0.1,Inf,Q,1,6.163869380950928
111,P-30,Tub,0.1,Inf,V,1,0.33790236711502075
112,P-44,Tub,0.1,Inf,Q,1,6.197071552276611
113,P-44,Tub,0.1,Inf,V,1,0.7985856533050537
114,P-58,Tub,0.1,Inf,Q,1,7.973123550415039
115,P-58,Tub,0.1,Inf,V,1,1.0274566411972046
116,P-176,Tub,0.1,Inf,Q,1,6.385473728179932
117,P-176,Tub,0.1,Inf,V,1,0.8228640556335449
118,P-182,Tub,0.1,Inf,Q,1,6.295539855957031
119,P-182,Tub,0.1,Inf,V,1,0.8112747669219971
120,J-74,Nod,0.1,Inf,P,2,47.53923797607422
121,J-80,Nod,0.1,Inf,P,2,48.605037689208984
122,J-112,Nod,0.1,Inf,P,2,48.7540283203125
123,J-126,Nod,0.1,Inf,P,2,49.524925231933594
124,J-143,Nod,0.1,Inf,P,2,47.834388732910156
125,J-145,Nod,0.1,Inf,P,2,47.967933654785156
126,J-191,Nod,0.1,Inf,P,2,49.01993179321289
127,J-236,Nod,0.1,Inf,P,2,50.22957992553711
128,J-253,Nod,0.1,Inf,P,2,12.81812572479248
129,J-266,Nod,0.1,Inf,P,2,12.25252628326416
130,J-286,Nod,0.1,Inf,P,2,14.02248477935791
131,J-292,Nod,0.1,Inf,P,2,10.01379108428955
132,J-297,Nod,0.1,Inf,P,2,13.012109756469727
133,J-299,Nod,0.1,Inf,P,2,12.780197143554688
134,J-304,Nod,0.1,Inf,P,2,11.81277847290039
135,J-332,Nod,0.1,Inf,P,2,13.514362335205078
136,J-336,Nod,0.1,Inf,P,2,47.74618148803711
137,J-357,Nod,0.1,Inf,P,2,13.304755210876465
138,J-361,Nod,0.1,Inf,P,2,12.826571464538574
139,J-371,Nod,0.1,Inf,P,2,49.0501708984375
140,P-2,Tub,0.1,Inf,Q,2,13.211644172668457
141,P-2,Tub,0.1,Inf,V,2,0.7242603302001953
142,P-4,Tub,0.1,Inf,Q,2,39.21805953979492
143,P-4,Tub,0.1,Inf,V,2,0.7655121088027954
144,P-6,Tub,0.1,Inf,Q,2,5.97748327255249
145,P-6,Tub,0.1,Inf,V,2,0.3276847302913666
146,P-7,Tub,0.1,Inf,Q,2,5.616317272186279
147,P-7,Tub,0.1,Inf,V,2,0.7037822604179382
148,P-9,Tub,0.1,Inf,Q,2,6.091898441314697
149,P-9,Tub,0.1,Inf,V,2,0.3339569568634033
150,P-10,Tub,0.1,Inf,Q,2,7.835719108581543
151,P-10,Tub,0.1,Inf,V,2,0.981896162033081
152,P-11,Tub,0.1,Inf,Q,2,16.360708236694336
153,P-11,Tub,0.1,Inf,V,2,0.8968915343284607
154,P-13,Tub,0.1,Inf,Q,2,6.114812850952148
155,P-13,Tub,0.1,Inf,V,2,0.7662489414215088
156,P-15,Tub,0.1,Inf,Q,2,33.12615966796875
157,P-15,Tub,0.1,Inf,V,2,0.6466020345687866
158,P-17,Tub,0.1,Inf,Q,2,7.09683084487915
159,P-17,Tub,0.1,Inf,V,2,0.38904717564582825
160,P-20,Tub,0.1,Inf,Q,2,29.572351455688477
161,P-20,Tub,0.1,Inf,V,2,0.9029883742332458
162,P-22,Tub,0.1,Inf,Q,2,16.360721588134766
163,P-22,Tub,0.1,Inf,V,2,0.8968923091888428
164,P-24,Tub,0.1,Inf,Q,2,13.21164321899414
165,P-24,Tub,0.1,Inf,V,2,0.7242603302001953
166,P-25,Tub,0.1,Inf,Q,2,8.525002479553223
167,P-25,Tub,0.1,Inf,V,2,1.0682704448699951
168,P-27,Tub,0.1,Inf,Q,2,5.977475643157959
169,P-27,Tub,0.1,Inf,V,2,0.32768431305885315
170,P-30,Tub,0.1,Inf,Q,2,6.091892719268799
171,P-30,Tub,0.1,Inf,V,2,0.33395662903785706
172,P-44,Tub,0.1,Inf,Q,2,5.616317272186279
173,P-44,Tub,0.1,Inf,V,2,0.7237467169761658
174,P-58,Tub,0.1,Inf,Q,2,7.835719108581543
175,P-58,Tub,0.1,Inf,V,2,1.0097500085830688
176,P-176,Tub,0.1,Inf,Q,2,6.114812850952148
177,P-176,Tub,0.1,Inf,V,2,0.7879853844642639
178,P-182,Tub,0.1,Inf,Q,2,6.034512996673584
179,P-182,Tub,0.1,Inf,V,2,0.7776375412940979
180,J-74,Nod,0.1,Inf,P,3,47.54823684692383
181,J-80,Nod,0.1,Inf,P,3,48.61295700073242
182,J-112,Nod,0.1,Inf,P,3,48.75346374511719
183,J-126,Nod,0.1,Inf,P,3,49.52442169189453
184,J-143,Nod,0.1,Inf,P,3,47.830718994140625
185,J-145,Nod,0.1,Inf,P,3,47.963565826416016
186,J-191,Nod,0.1,Inf,P,3,49.0228385925293
187,J-236,Nod,0.1,Inf,P,3,50.23748779296875
188,J-253,Nod,0.1,Inf,P,3,12.81864070892334
189,J-266,Nod,0.1,Inf,P,3,12.25001049041748
190,J-286,Nod,0.1,Inf,P,3,14.001978874206543
191,J-292,Nod,0.1,Inf,P,3,10.016716957092285
192,J-297,Nod,0.1,Inf,P,3,13.008285522460938
193,J-299,Nod,0.1,Inf,P,3,12.77971076965332
194,J-304,Nod,0.1,Inf,P,3,11.821684837341309
195,J-332,Nod,0.1,Inf,P,3,13.513060569763184
196,J-336,Nod,0.1,Inf,P,3,47.75510025024414
197,J-357,Nod,0.1,Inf,P,3,13.305586814880371
198,J-361,Nod,0.1,Inf,P,3,12.832514762878418
199,J-371,Nod,0.1,Inf,P,3,49.06898880004883
200,P-2,Tub,0.1,Inf,Q,3,13.415853500366211
201,P-2,Tub,0.1,Inf,V,3,0.7354550361633301
202,P-4,Tub,0.1,Inf,Q,3,38.880306243896484
203,P-4,Tub,0.1,Inf,V,3,0.7589194178581238
204,P-6,Tub,0.1,Inf,Q,3,5.8903632164001465
205,P-6,Tub,0.1,Inf,V,3,0.32290881872177124
206,P-7,Tub,0.1,Inf,Q,3,5.470759391784668
207,P-7,Tub,0.1,Inf,V,3,0.6855424046516418
208,P-9,Tub,0.1,Inf,Q,3,5.99175500869751
209,P-9,Tub,0.1,Inf,V,3,0.32846710085868835
210,P-10,Tub,0.1,Inf,Q,3,7.834444999694824
211,P-10,Tub,0.1,Inf,V,3,0.9817364811897278
